,student,position,name
152,Felipe ten Caten,comitee, Helder Takashi Imoto Nakaya
153,Felipe ten Caten,comitee, Daniel Guariz Pinheiro
154,Lariani Aparecida Delboni,president, Fernando Luis Barroso da  Silva
155,Lariani Aparecida Delboni,comitee, Osvaldo de Freitas
156,Lariani Aparecida Delboni,comitee, Luciana Malavolta Quaglio
157,Bruno Ferreira de Souza,president, Sergio Verjovski de  Almeida
158,Bruno Ferreira de Souza,comitee, André Yoshiaki Kashiwabara
159,Bruno Ferreira de Souza,comitee, Helder Takashi Imoto Nakaya
160,Gesiele Almeida Barros de Carvalho,president, Marie Anne van  Sluys
161,Gesiele Almeida Barros de Carvalho,comitee, Mariangela Hungria da Cunha
162,Gesiele Almeida Barros de Carvalho,comitee, André Fujita
163,Gesiele Almeida Barros de Carvalho,comitee, Milton Yutaka Nishiyama Junior
164,Gesiele Almeida Barros de Carvalho,comitee, Claudia Barros Monteiro Vitorello
165,Deyvid Emanuel Amgarten,president, João Carlos  Setubal
166,Deyvid Emanuel Amgarten,comitee, Armando Morais Ventura
167,Deyvid Emanuel Amgarten,comitee, Paolo Marinho de Andrade Zanotto
168,Juan Manuel Vidal Garcia,president, André  Fujita
169,Juan Manuel Vidal Garcia,comitee, Benilton de Sá Carvalho
170,Juan Manuel Vidal Garcia,comitee, Silvia Yumi Bando Takahara
171,Diego Trindade de Souza,president, Sergio Russo  Matioli
172,Diego Trindade de Souza,comitee, João Marcelo Pereira Alves
173,Diego Trindade de Souza,comitee, Marcelo Ribeiro da Silva Briones
174,Diego Trindade de Souza,comitee, Francisco Prosdocimi
175,Diego Trindade de Souza,comitee, João Carlos Setubal
176,Gabriela Der Agopian Guardia,president, Clever Ricardo Guareis de  Farias
177,Gabriela Der Agopian Guardia,comitee, João Eduardo Ferreira
178,Gabriela Der Agopian Guardia,comitee, Daniel Guariz Pinheiro
179,Gabriela Der Agopian Guardia,comitee, Zila Luz Paulino Simoes
180,Gabriela Der Agopian Guardia,comitee, Renato Tinós
181,Luciana Farina Almansa,president, Alessandra Alaniz  Macedo
182,Luciana Farina Almansa,comitee, Marcello Henrique Nogueira Barbosa
183,Luciana Farina Almansa,comitee, Thiago Alexandre Salgueiro Pardo
184,Diogo Vieira da Silva Pellegrina,president, Eduardo Moraes Rego  Reis
185,Diogo Vieira da Silva Pellegrina,comitee, André Fujita
