,0,1,2,3,4,5
Danillo Cunha de Almeida e Silva,,"Vencio, Ricardo Zorzetto Nicoliello ","Setubal, João Carlos","Venancio, Thiago Motta
",,
Marcio Branquinho Dutra,,"Macedo, Alessandra Alaniz ","Durham, Elza Helena Andrade Barbosa","Hirata, Nina Sumiko Tomita
",,
Oscar Picchi Netto,,"Baranauskas, José Augusto ","Felipe, Joaquim Cezar","Silva Junior, Wilson Araújo da
",,
Erica Akemi Tanaka,Uma adaptação do método Binary Relevance utilizando árvores de decisão para problemas de classificação multirrótulo aplicado à genômica funcional,,,,,
Thais Mayumi Oshiro,Uma abordagem para a construção de uma única árvore a partir de uma Random Forest para classificação de bases de expressão gênica,,,,,
Fernando Domingues Kümmel Tria,,"Silva, Aline Maria da ","Ortega, Jose Miguel","Setubal, João Carlos
",,
Newton Shydeo Brandão Miyoshi,,"Marques, Paulo Mazzoncini de Azevedo ","Giuliatti, Silvana","Alves, Domingos","Ribeiro, Marcos Aurelio Martins","Zinader, Juliana Pereira de Souza
"
Melline Fontes Noronha,,"Hashimoto, Ronaldo Fumio ","Buckeridge, Marcos Silveira","Rozante, Luiz Carlos da Silva
",,
Luís Henrique Uchida Ishivatari,Função de avaliação dinâmica em algoritmos genéticos aplicados na predição de estruturas tridimensionais de proteínas,,,,,
Helder Ken Shimo,,"Tinós, Renato ","Oliveira, Paulo Sérgio Lopes de","Zuben, Fernando José von
",,
Fernanda Nascimento Almeida,,"Sabino, Ester Cerdeira ","Araújo, Luciano Vieira de","Digiampietri, Luciano Antonio","Gualandro, Sandra Fatima Menosi","Proietti, Anna Bárbara de Freitas Carneiro
"
Pedro Santoro Perez,,"Baranauskas, José Augusto ","Lopes, Fabricio Martins","Tinós, Renato
",,
Alexandre Rossi Paschoal,,"Durham, Alan Mitchell ","Costa Filho, Ivan Gesteira","Fujita, André","Pereira, Tiago Campos","Vitorello, Claudia Barros Monteiro
"
Bruna Renata Silva Corrêa,Análise computacional do genoma e transcritoma de Plasmodium vivax: contribuições da bioinformática para o estudo da malária,,,,,
Flavia Akemi Miyazaki,,"Farias, Clever Ricardo Guareis de ","Cruz, Angela Kaysel","Traina, Agma Juci Machado
",,
Juliana Tarossi Pollettini,,"Pazin Filho, Antonio ","Elias Júnior, Jorge","Liang, Zhao","Marques, Paulo Mazzoncini de Azevedo","Scalabrini Neto, Augusto
"
Gisele Helena Barboni Miranda,Spatially explicit modeling on networks: understanding patterns & describing processes,,,,,
Vitor Hugo Louzada Patricio,,"Hashimoto, Ronaldo Fumio ","Koide, Tie","Lemke, Ney
",,
